endpoint,mode,metric,sigma,beta,bnn,null,delta
ndcg,formaldehyde,spearman_rho,total,1.5,0.6532517149935535,0.6268784620088229,0.02637325298473059
ndcg,formaldehyde,spearman_rho,epi_ale,0.0,0.6026083733073667,0.6268784620088229,-0.024270088701456194
ndcg,formaldehyde,spearman_rho,epi_only,1.5,0.5841081092974342,0.6268784620088229,-0.04277035271138874
ndcg,nearest,spearman_rho,total,0.5,0.6958173589917022,0.8213062697459093,-0.1254889107542071
ndcg,nearest,spearman_rho,epi_ale,1.0,0.6748968734787743,0.8213062697459093,-0.146409396267135
ndcg,nearest,spearman_rho,epi_only,0.5,0.660073047479429,0.8213062697459093,-0.1612332222664803
ndcg,avg_all,spearman_rho,total,1.0,0.7216580211738354,0.7195696213082767,0.0020883998655586433
ndcg,avg_all,spearman_rho,epi_ale,0.0,0.7087385911253251,0.7195696213082767,-0.010831030182951618
ndcg,avg_all,spearman_rho,epi_only,0.0,0.7194422794604285,0.7195696213082767,-0.0001273418478482391
ndcg,distance_weighted,spearman_rho,total,1.0,0.7214076286201112,0.7198627979264548,0.0015448306936564071
ndcg,distance_weighted,spearman_rho,epi_ale,0.0,0.7098487451183856,0.7198627979264548,-0.010014052808069218
ndcg,distance_weighted,spearman_rho,epi_only,1.0,0.7199836973160202,0.7198627979264548,0.0001208993895653876
ndcg,formaldehyde,ndcg,total,1.5,0.9043293363175033,0.9059871880312036,-0.0016578517137002535
ndcg,formaldehyde,ndcg,epi_ale,0.0,0.8798212282470523,0.9059871880312036,-0.02616595978415126
ndcg,formaldehyde,ndcg,epi_only,1.5,0.8886308286780885,0.9059871880312036,-0.01735635935311508
ndcg,nearest,ndcg,total,0.5,0.9182543768926622,0.8063717547222073,0.11188262217045486
ndcg,nearest,ndcg,epi_ale,1.0,0.9130287344351627,0.8063717547222073,0.1066569797129554
ndcg,nearest,ndcg,epi_only,0.5,0.8981243089150022,0.8063717547222073,0.09175255419279482
ndcg,avg_all,ndcg,total,1.0,0.9442599164818916,0.9427119798414071,0.0015479366404844708
ndcg,avg_all,ndcg,epi_ale,0.0,0.9386812735927581,0.9427119798414071,-0.004030706248648985
ndcg,avg_all,ndcg,epi_only,0.0,0.94023000259019,0.9427119798414071,-0.0024819772512171268
ndcg,distance_weighted,ndcg,total,1.0,0.9440524486356633,0.9425646397228137,0.0014878089128496086
ndcg,distance_weighted,ndcg,epi_ale,0.0,0.9393376618713715,0.9425646397228137,-0.0032269778514422143
ndcg,distance_weighted,ndcg,epi_only,1.0,0.924938500187258,0.9425646397228137,-0.017626139535555696
ndcg,formaldehyde,top1_recovery,total,1.5,0.4,0.4,0.0
ndcg,formaldehyde,top1_recovery,epi_ale,0.0,0.0,0.4,-0.4
ndcg,formaldehyde,top1_recovery,epi_only,1.5,0.2,0.4,-0.2
ndcg,nearest,top1_recovery,total,0.5,0.16666666666666666,0.0,0.16666666666666666
ndcg,nearest,top1_recovery,epi_ale,1.0,0.16666666666666666,0.0,0.16666666666666666
ndcg,nearest,top1_recovery,epi_only,0.5,0.3333333333333333,0.0,0.3333333333333333
ndcg,avg_all,top1_recovery,total,1.0,0.3333333333333333,0.5,-0.16666666666666669
ndcg,avg_all,top1_recovery,epi_ale,0.0,0.3333333333333333,0.5,-0.16666666666666669
ndcg,avg_all,top1_recovery,epi_only,0.0,0.6666666666666666,0.5,0.16666666666666663
ndcg,distance_weighted,top1_recovery,total,1.0,0.3333333333333333,0.5,-0.16666666666666669
ndcg,distance_weighted,top1_recovery,epi_ale,0.0,0.3333333333333333,0.5,-0.16666666666666669
ndcg,distance_weighted,top1_recovery,epi_only,1.0,0.3333333333333333,0.5,-0.16666666666666669
ndcg,formaldehyde,top3_recovery,total,1.5,0.7333333333333332,0.5333333333333333,0.19999999999999984
ndcg,formaldehyde,top3_recovery,epi_ale,0.0,0.5333333333333333,0.5333333333333333,0.0
ndcg,formaldehyde,top3_recovery,epi_only,1.5,0.4,0.5333333333333333,-0.1333333333333333
ndcg,nearest,top3_recovery,total,0.5,0.611111111111111,0.38888888888888884,0.2222222222222222
ndcg,nearest,top3_recovery,epi_ale,1.0,0.4444444444444444,0.38888888888888884,0.05555555555555558
ndcg,nearest,top3_recovery,epi_only,0.5,0.4444444444444444,0.38888888888888884,0.05555555555555558
