embedder,model,metric,value
ESM2,Ridge,spearman,0.7332563361644545
ESM2,Ridge,spearman,0.5195219812592327
ESM2,Ridge,spearman,0.5185911003853251
ESM2,Ridge,spearman,0.4130309050065345
ESM2,Ridge,spearman,0.292843537228058
ESM2,RandomForest,spearman,0.7139488258500014
ESM2,RandomForest,spearman,0.5205487847319098
ESM2,RandomForest,spearman,0.2328747542436918
ESM2,RandomForest,spearman,0.3944207768729067
ESM2,RandomForest,spearman,0.2908665713520141
SaProt,Ridge,spearman,0.7189258729532826
SaProt,Ridge,spearman,0.4943432099542618
SaProt,Ridge,spearman,0.5481540680468201
SaProt,Ridge,spearman,0.44436428400703015
SaProt,Ridge,spearman,0.3874086319322629
SaProt,RandomForest,spearman,0.6890896059864967
SaProt,RandomForest,spearman,0.6436533237927391
SaProt,RandomForest,spearman,0.4838059318494942
SaProt,RandomForest,spearman,0.5073158909080261
SaProt,RandomForest,spearman,0.4142238300741247
MSATransformer,Ridge,spearman,0.13592487261375027
MSATransformer,Ridge,spearman,0.21124989124870575
MSATransformer,Ridge,spearman,0.10028395916309496
MSATransformer,Ridge,spearman,-0.0839354758679946
MSATransformer,Ridge,spearman,-0.019688631704976395
MSATransformer,RandomForest,spearman,-0.03629287088697565
MSATransformer,RandomForest,spearman,0.012473779378420575
MSATransformer,RandomForest,spearman,-0.12530860035842473
MSATransformer,RandomForest,spearman,0.008118262826279489
MSATransformer,RandomForest,spearman,-0.07255363115560627
AlignedOneHot,Ridge,spearman,0.7699835113403921
AlignedOneHot,Ridge,spearman,0.7171753360032541
AlignedOneHot,Ridge,spearman,0.3987460159132769
AlignedOneHot,Ridge,spearman,0.5145320630414737
AlignedOneHot,Ridge,spearman,0.4715327855807983
AlignedOneHot,RandomForest,spearman,0.6803966634813294
AlignedOneHot,RandomForest,spearman,0.5283345512159724
AlignedOneHot,RandomForest,spearman,0.33057440073358924
AlignedOneHot,RandomForest,spearman,0.40241285030294066
AlignedOneHot,RandomForest,spearman,0.4351562790551842
ESM2,Ridge,roc_auc,0.8959276018099548
ESM2,Ridge,roc_auc,0.7697368421052632
ESM2,Ridge,roc_auc,0.764172335600907
ESM2,Ridge,roc_auc,0.7333333333333334
ESM2,Ridge,roc_auc,0.6710875331564987
ESM2,RandomForest,roc_auc,0.8981900452488687
ESM2,RandomForest,roc_auc,0.7543859649122806
ESM2,RandomForest,roc_auc,0.5895691609977325
ESM2,RandomForest,roc_auc,0.7234567901234568
ESM2,RandomForest,roc_auc,0.6923076923076923
SaProt,Ridge,roc_auc,0.8914027149321267
SaProt,Ridge,roc_auc,0.7653508771929824
SaProt,Ridge,roc_auc,0.7936507936507936
SaProt,Ridge,roc_auc,0.7481481481481482
SaProt,Ridge,roc_auc,0.7506631299734748
SaProt,RandomForest,roc_auc,0.8800904977375567
SaProt,RandomForest,roc_auc,0.8552631578947368
SaProt,RandomForest,roc_auc,0.7551020408163265
SaProt,RandomForest,roc_auc,0.7703703703703704
SaProt,RandomForest,roc_auc,0.773209549071618
MSATransformer,Ridge,roc_auc,0.5678733031674208
MSATransformer,Ridge,roc_auc,0.6513157894736842
MSATransformer,Ridge,roc_auc,0.6054421768707483
MSATransformer,Ridge,roc_auc,0.43209876543209874
MSATransformer,Ridge,roc_auc,0.46684350132625996
MSATransformer,RandomForest,roc_auc,0.5180995475113123
MSATransformer,RandomForest,roc_auc,0.5087719298245614
MSATransformer,RandomForest,roc_auc,0.4399092970521542
MSATransformer,RandomForest,roc_auc,0.5049382716049383
MSATransformer,RandomForest,roc_auc,0.4098143236074271
AlignedOneHot,Ridge,roc_auc,0.9298642533936651
AlignedOneHot,Ridge,roc_auc,0.9078947368421053
AlignedOneHot,Ridge,roc_auc,0.7097505668934241
AlignedOneHot,Ridge,roc_auc,0.7876543209876543
AlignedOneHot,Ridge,roc_auc,0.7877984084880637
AlignedOneHot,RandomForest,roc_auc,0.8687782805429864
AlignedOneHot,RandomForest,roc_auc,0.8070175438596492
AlignedOneHot,RandomForest,roc_auc,0.6417233560090703
AlignedOneHot,RandomForest,roc_auc,0.7160493827160492
AlignedOneHot,RandomForest,roc_auc,0.7612732095490716
